name,country,city,public
University of Eastern Finland,Finland,Eastern Finland,yes
Graz University of Technology,Austria,Graz,yes
Universidad de Zaragoza,Spain,Zaragoza,yes
Northumbria University at Newcastle,United Kingdom,Newcastle,yes
Palacký University Olomouc,Czech Republic,Olomouc,yes
Paris Lodron University of Salzburg,Austria,Salzburg,yes
University of Aveiro,Portugal,Aveiro,yes
Julius-Maximilians-Universität Würzburg,Germany,Würzburg,yes
Institut National des Sciences Appliquées de Lyon (INSA),France,Lyon,yes
Universidade de Santiago de Compostela,Spain,Santiago de Compostela,yes
University of Hull,United Kingdom,Hull,yes
University of Ljubljana,Slovenia,Ljubljana,yes
Istanbul University,Turkey,Istanbul,yes
University of Debrecen,Hungary,Debrecen,yes
Bangor University,United Kingdom,Bangor,yes
Brno University of Technology,Czech Republic,Brno,yes
SOAS University of London ,United Kingdom,London,yes
University of Genoa,Italy,Genoa,yes
Universität Jena,Germany,Jena,yes
University of Szeged,Hungary,Szeged,yes
University of Huddersfield,United Kingdom,Huddersfield,yes
Royal Holloway University of London,United Kingdom,Holloway,yes
Universität Bremen,Germany,Bremen,yes
Université Paul Sabatier Toulouse III,France,Toulouse,yes
Universidad Pontificia Comillas,Spain,Madrid,
University of Hohenheim,Germany,Hohenheim,yes
"Birkbeck, University of London",United Kingdom,London,yes
"Kingston University, London",United Kingdom,London,yes
Université de Fribourg,Switzerland,Fribourg,yes
University of Portsmouth,United Kingdom,Portsmouth,yes
Ulster University,United Kingdom,Belfast,yes
University of Plymouth,United Kingdom,Plymouth,yes
Karl-Franzens-Universitaet Graz,Austria,Graz,yes
University of Zagreb,Croatia,Zagreb,yes
University of the West of England,United Kingdom,Bristol,yes
USI - Università della Svizzera italiana,Switzerland,Lugano,yes
University of Cyprus (UCY),Cyprus,Aglandjia,yes
Budapest University of Technology and Economics,Hungary,Budapest,yes
University of Minho,Portugal,Braga,yes
Hasselt University ,Belgium,Hasselt,yes
Université de Lille,France,Lille,yes
Université Claude Bernard Lyon 1,France,Lyon,yes
University of Belgrade,Serbia,Belgrade,yes
Czech University of Life Sciences in Prague,Czech Republic,Prague,yes
Tallinn University of Technology (TalTech),Estonia,Tallinn,yes
Martin-Luther-Universität Halle-Wittenberg,Germany,Halle,yes
Babes-Bolyai University,Romania,Cluj,yes
Kaunas University of Technology,Lithuania,Kaunas,yes
"Adam Mickiewicz University, Poznań",Poland,Poznan,yes
Justus-Liebig-University Giessen,Germany,Giessen,yes
Riga Technical University,Latvia,Riga,yes
Universidad de Alcalá,Spain,Alcalá de Henares,yes
University of Greenwich,United Kingdom,Greenwich,yes
Liverpool John Moores University,United Kingdom,Liverpool,yes
Ankara Üniversitesi,Turkey,Ankara,yes
Taras Shevchenko National University of Kyiv,Ukraine,Kiev,yes
Universidade Católica Portuguesa - UCP,Portugal,Lisbon,yes
Gazi Üniversitesi,Turkey,Ankara,yes
"Sofia University ""St. Kliment Ohridski""",Bulgaria,Sofia,yes
University of Latvia,Latvia,Latvia,yes
Vytautas Magnus University,Lithuania,Zaliakalnis,yes
Aberystwyth University,United Kingdom,Aberystwyth,yes
Universität Duisburg-Essen,Germany,Essen,yes
University of Bucharest,Romania,Bucharest,yes
University of Tromsø The Arctic University of Norway,Norway,Tromsø,yes
Université de Lorraine,France,Lorraine,yes
Université Côte d\'Azur,France,Nice,yes
Comenius University Bratislava,Slovakia,Bratislava,yes
Universitat Rovira i Virgili,Spain,Tarragona,yes
De Montfort University,United Kingdom,Leicester,yes
University of Siena,Italy,Siena,yes
Azerbaijan State University of Economics,Azerbaijan,Baku,yes
"Goldsmiths, University of London",United Kingdom,London,yes
University of Iceland,Iceland,Reykjavik,yes
Universität Regensburg,Germany,Regensburg,yes
Middlesex University,United Kingdom,London,yes
University of Alicante,Spain,Alicante,yes
University of Crete,Greece,Crete,yes
Universidad de Valladolid,Spain,Valladolid,yes
Maynooth University,Ireland,Maynooth,yes
University of Vaasa,Finland,Vaasa,yes
TU Dortmund University,Germany,Dortmunf,yes
University Duesseldorf,Germany,Dusseldorf,yes
Yildiz Technical University,Turkey,Istanbul,yes
Norwegian University of Life Sciences (UMB),Norway,As,yes
Universität des Saarlandes,Germany,Saarlandes,yes
Technological University Dublin,Ireland,Dublin,yes
Université de Rennes 1 (University of Rennes),France,Rennes,yes
"University of Chemistry and Technology, Prague",Czech Republic,Prague,yes
University Ulm,Germany,Ulm,yes
Abo Akademi University,Finland,Turku,yes
Bournemouth University,United Kingdom,Bournemouth,yes
